# Gnuplot File : positions of 9 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 8 
0.01	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.02	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.03	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.04	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.05	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.06	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.07	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.08	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.09	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.1	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.11	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.12	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.13	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.14	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.15	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
0.16	0 0 0 0 0 0 1	0.625 0 0 0 0 0 1	1.25 0 0 0 0 0 1	1.875 0 0 0 0 0 1	2.5 0 0 0 0 0 1	3.125 0 0 0 0 0 1	3.75 0 0 0 0 0 1	4.375 0 0 0 0 0 1	5 0 0 0 0 0 1	
