# Gnuplot File : positions of 8 particle(s) Monitored
# 1st Column : time, others : particle(s) number 0 1 2 3 4 5 6 7 
0.01	0 0 -0.000533631 -9.66754e-06 -0.000370902 0	0 0 0.100104 -1.23769e-05 -0.000175299 0	0 0 0.200177 -1.45995e-05 -7.72357e-05 0	0 0 0.300127 -1.40705e-05 -3.04152e-05 0	0 0 0.400074 -1.15128e-05 -8.63277e-06 0	0 0 0.500038 -8.06561e-06 1.00245e-06 0	0 0 0.600016 -4.58824e-06 4.30394e-06 0	0 0 0.700004 -1.69722e-06 3.64161e-06 0	
0.02	0 0 -0.00161214 -3.15811e-05 -0.000873042 0	0 0 0.100173 -3.83598e-05 -0.000447383 0	0 0 0.200518 -4.46133e-05 -0.000209345 0	0 0 0.30043 -4.35985e-05 -8.48848e-05 0	0 0 0.400276 -3.63316e-05 -2.24277e-05 0	0 0 0.500153 -2.57812e-05 6.74627e-06 0	0 0 0.600071 -1.47514e-05 1.65995e-05 0	0 0 0.70002 -5.52462e-06 1.32384e-05 0	
0.03	0 0 -0.00316992 -6.5552e-05 -0.00143656 0	0 0 0.100118 -7.69173e-05 -0.000776391 0	0 0 0.200967 -8.82683e-05 -0.000378196 0	0 0 0.300911 -8.68366e-05 -0.000155581 0	0 0 0.400636 -7.31977e-05 -3.74235e-05 0	0 0 0.500376 -5.23582e-05 1.98769e-05 0	0 0 0.600181 -2.9879e-05 3.87316e-05 0	0 0 0.700054 -1.0897e-05 2.96297e-05 0	
0.04	0 0 -0.00514112 -0.000110181 -0.00203345 0	0 0 0.0998962 -0.000126263 -0.00114417 0	0 0 0.201467 -0.000143443 -0.000575294 0	0 0 0.30155 -0.000141739 -0.000239129 0	0 0 0.401163 -0.000120485 -5.20303e-05 0	0 0 0.500725 -8.66934e-05 4.15878e-05 0	0 0 0.600365 -4.92851e-05 7.17179e-05 0	0 0 0.700114 -1.7391e-05 5.34156e-05 0	
0.05	0 0 -0.00747035 -0.000163586 -0.00264981 0	0 0 0.0994873 -0.000184473 -0.00154098 0	0 0 0.201977 -0.000208185 -0.000796406 0	0 0 0.30232 -0.000206557 -0.000334754 0	0 0 0.401856 -0.00017682 -6.66498e-05 0	0 0 0.501213 -0.000127807 7.15125e-05 0	0 0 0.600634 -7.23976e-05 0.000115501 0	0 0 0.700208 -2.48939e-05 8.46866e-05 0	
0.06	0 0 -0.0101132 -0.000224014 -0.00327738 0	0 0 0.0988858 -0.00024968 -0.00196053 0	0 0 0.202463 -0.000280623 -0.00103906 0	0 0 0.303195 -0.00027967 -0.00044276 0	0 0 0.402705 -0.000241028 -8.25135e-05 0	0 0 0.501844 -0.000174988 0.000108665 0	0 0 0.600998 -9.88298e-05 0.000169605 0	0 0 0.700341 -3.3195e-05 0.000123288 0	
0.07	0 0 -0.0130324 -0.000289832 -0.00391093 0	0 0 0.0980922 -0.000320214 -0.00239828 0	0 0 0.202904 -0.000359117 -0.00130125 0	0 0 0.304149 -0.00035965 -0.00056356 0	0 0 0.403696 -0.000312057 -0.000101197 0	0 0 0.502618 -0.000227585 0.000151533 0	0 0 0.601462 -0.000128247 0.000233167 0	0 0 0.700519 -4.21747e-05 0.000168961 0	
0.08	0 0 -0.0161972 -0.000359689 -0.00454674 0	0 0 0.0971114 -0.000394598 -0.00285085 0	0 0 0.20328 -0.000442111 -0.00158128 0	0 0 0.305159 -0.000445046 -0.000697221 0	0 0 0.404815 -0.00038883 -0.000123834 0	0 0 0.503531 -0.000285065 0.000198819 0	0 0 0.602029 -0.000160574 0.000305384 0	0 0 0.700744 -5.1903e-05 0.00022154 0	
0.09	0 0 -0.0195809 -0.000432332 -0.00518213 0	0 0 0.0959501 -0.000471555 -0.00331531 0	0 0 0.203581 -0.000528341 -0.00187745 0	0 0 0.306204 -0.000534723 -0.000843775 0	0 0 0.406044 -0.00047046 -0.000151626 0	0 0 0.504573 -0.000346843 0.000249052 0	0 0 0.602699 -0.000195506 0.000385191 0	0 0 0.70102 -6.22895e-05 0.000280571 0	
0.1	0 0 -0.0231604 -0.000506715 -0.005815 0	0 0 0.0946159 -0.000549985 -0.00378922 0	0 0 0.203796 -0.000616679 -0.00218818 0	0 0 0.307267 -0.00062762 -0.00100299 0	0 0 0.407367 -0.000556092 -0.000185444 0	0 0 0.505735 -0.000412372 0.000300942 0	0 0 0.603468 -0.000232805 0.000471526 0	0 0 0.701345 -7.32948e-05 0.000345548 0	
0.11	0 0 -0.0269154 -0.00058195 -0.0064437 0	0 0 0.0931172 -0.000628947 -0.00427044 0	0 0 0.203919 -0.00070614 -0.00251189 0	0 0 0.308332 -0.000722786 -0.00117442 0	0 0 0.408766 -0.000644933 -0.000225896 0	0 0 0.507006 -0.000481124 0.000353353 0	0 0 0.60433 -0.00027223 0.000563331 0	0 0 0.70172 -8.48817e-05 0.000415903 0	
0.12	0 0 -0.0308276 -0.000657285 -0.00706689 0	0 0 0.0914627 -0.000707639 -0.00475707 0	0 0 0.203945 -0.000795869 -0.00284704 0	0 0 0.309384 -0.00081937 -0.00135748 0	0 0 0.410225 -0.000736247 -0.000273372 0	0 0 0.508371 -0.00055259 0.000405295 0	0 0 0.605279 -0.00031354 0.000659575 0	0 0 0.702141 -9.7011e-05 0.000491022 0	
0.13	0 0 -0.0348803 -0.00073207 -0.00768349 0	0 0 0.0896604 -0.000785367 -0.00524739 0	0 0 0.203871 -0.000885156 -0.00319213 0	0 0 0.310412 -0.000916677 -0.0015515 0	0 0 0.411728 -0.000829403 -0.000328175 0	0 0 0.509818 -0.000626257 0.000455819 0	0 0 0.606306 -0.000356396 0.000759175 0	0 0 0.702605 -0.000109543 0.000570194 0	
0.14	0 0 -0.0390589 -0.000805806 -0.00829244 0	0 0 0.0877194 -0.000861571 -0.00573989 0	0 0 0.203696 -0.00097329 -0.00354571 0	0 0 0.311404 -0.0010139 -0.00175557 0	0 0 0.41326 -0.000923685 -0.000390176 0	0 0 0.511332 -0.000701696 0.000504376 0	0 0 0.607401 -0.000400726 0.000861321 0	0 0 0.703109 -0.000122607 0.000652873 0	
0.15	0 0 -0.0433493 -0.000878015 -0.00889297 0	0 0 0.0856478 -0.000935733 -0.00623311 0	0 0 0.203418 -0.00105974 -0.00390635 0	0 0 0.31235 -0.00111052 -0.00196887 0	0 0 0.414806 -0.00101857 -0.000459375 0	0 0 0.5129 -0.000778441 0.000550277 0	0 0 0.608555 -0.000446185 0.00096505 0	0 0 0.703648 -0.000136043 0.000738352 0	
0.16	0 0 -0.0477387 -0.000948315 -0.00948431 0	0 0 0.0834534 -0.00100743 -0.00672572 0	0 0 0.203037 -0.00114403 -0.00427267 0	0 0 0.313242 -0.00120599 -0.00219049 0	0 0 0.416353 -0.00111354 -0.000535627 0	0 0 0.514506 -0.000856061 0.00059298 0	0 0 0.609757 -0.000492526 0.00106949 0	0 0 0.704217 -0.000149795 0.000825956 0	
0.17	0 0 -0.0522153 -0.00101638 -0.0100658 0	0 0 0.081144 -0.00107631 -0.0072165 0	0 0 0.202552 -0.00122573 -0.00464338 0	0 0 0.314071 -0.00129982 -0.00241954 0	0 0 0.417887 -0.00120809 -0.000618721 0	0 0 0.516137 -0.000934154 0.000632013 0	0 0 0.610996 -0.000539527 0.00117381 0	0 0 0.70481 -0.000163829 0.000915021 0	
0.18	0 0 -0.0567679 -0.00108199 -0.0106367 0	0 0 0.0787271 -0.0011421 -0.00770427 0	0 0 0.201965 -0.00130447 -0.00501722 0	0 0 0.31483 -0.00139156 -0.00265511 0	0 0 0.419396 -0.00130174 -0.000708385 0	0 0 0.517779 -0.00101232 0.000667005 0	0 0 0.612262 -0.000586967 0.00127726 0	0 0 0.705424 -0.000178102 0.00100493 0	
0.19	0 0 -0.0613859 -0.00114491 -0.0111967 0	0 0 0.0762094 -0.00120454 -0.008188 0	0 0 0.201276 -0.00137992 -0.00539293 0	0 0 0.315514 -0.00148078 -0.00289625 0	0 0 0.420868 -0.00139403 -0.000804344 0	0 0 0.519421 -0.00109018 0.000697504 0	0 0 0.613545 -0.00063465 0.00137899 0	0 0 0.706051 -0.000192615 0.00109499 0	
